v1
13
R O H A N |  58.131695 -32.993053  0.343207 0.105219  0.608538 0.151238  21.538881 -40.090961  1.562049 40 100 0 0
M O R D O R |  -92.310265 -20.404305  0.292488 0.169413  0.664750 0.047882  -87.864876 11.076799  1.464172 35 100 0 0
G O N D O R |  -3.705766 38.930603  0.271021 0.173337  0.655409 0.148710  -43.378849 35.348019  1.610169 35 100 0 0
A n d u i n _ R i v e r |  -5.777639 -149.987335  0.411510 0.305023  0.622825 0.171836  -23.132725 -127.727547  0.875757 35 100 0 0
F a n g o r n |  29.257574 -87.974411  0.414687 0.131061  0.737841 0.063741  32.036472 -111.860878  1.315466 35 100 0 0
L O R I E N |  31.742455 -153.129608  0.359316 0.138565  0.698699 0.113574  0.662675 -146.121414  1.552791 35 100 0 0
A n o r i e n |  -7.948699 -12.167396  0.459938 0.085792  0.653398 0.098245  -40.256077 -2.809474  1.000000 35 100 0 0
B a y _ o f |  14.573925 69.485817  0.363013 -0.216447  0.692680 -0.210894  2.241733 76.462593  1.000000 60 100 0 0
B e f a l a s |  18.365297 74.014175  0.345713 -0.174081  0.677705 -0.195006  3.625624 81.015526  1.000000 60 100 0 0
P e l e n n o r |  -47.359558 25.924267  0.370088 0.209854  0.668088 0.166865  -49.804695 12.577909  0.784307 35 100 1 0
F i e l d s |  -52.325958 21.739965  0.388969 0.153109  0.657015 0.147934  -52.267002 11.834908  0.769121 35 100 1 0
|  -17.052301 -126.139450  0.330000 0.000000  0.660000 0.000000  -16.131025 -126.709763  1.000000 35 100 0 0
M i r k w o o d |  -14.825264 -291.909943  0.312257 0.100140  0.552215 0.091525  -34.050365 -243.388611  2.866879 35 100 0 0
